lev1,lev2,lev3,lev1_url,lev2_url,lev3_url
กฎหมาย - การป้องปรามการละเมิดทรัพย์สินทางปัญญา,,กฎหมายที่เกี่ยวกับการป้องปรามการละเมิดทรัพย์สินทางปัญญา,https://www.ipthailand.go.th/th/dip-law-2/category/กฎหมาย-ประกาศ-ระเบียบ-คำสั่ง-การป้องปรามการละเมิดทรัพย์สินทางปัญญา.html,,https://www.ipthailand.go.th/th/protect-002.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,กฏกระทรวง (Ministerial regulations),กฎกระทรวงว่าด้วยการกำหนดผลิตภัณฑ์ซีดีและอุปกรณ์ของเครื่องจักร พ.ศ. 2548 (ลงวันที่ 24 สิงหาคม 2548),https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/กฏกระทรวง-ministerial-regulations.html,https://www.ipthailand.go.th/th/dip-law-2/item/กฎกระทรวง-ว่าด้วยการกำหนดผลิตภัณฑ์ซีดีและอุปกรณ์ของเครื่องจักร-พ-ศ-๒๕๔๘.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,คำสั่งกรมทรัพย์สินทางปัญญา (Orders of DIP),คำสั่งกรมทรัพย์สินทางปัญญา ที่ 152/2548 เรื่อง มอบอำนาจให้ผู้ว่าราชการจังหวัดปฏิบัติราชการแทน (เพิ่มเติม) (ลงวันที่ 23 สิงหาคม 2548),https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/คำสั่งกรมทรัพย์สินทางปัญญา-orders-of-dip-3.html,https://www.ipthailand.go.th/th/dip-law-2/item/คำสั่งกรม-ที่-152-2548-เรื่อง-มอบอำนาจให้ผู้ว่าราชการจังหวัดปฏิบัติราชการแทน-เพิ่มเติม.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,คำสั่งกรมทรัพย์สินทางปัญญา (Orders of DIP),คำสั่งกรมทรัพย์สินทางปัญญา ที่ 189/2553 เรื่อง มอบอำนาจให้ข้าราชการปฏิบัติราชการตามพระราชบัญญัติการผลิตผลิตภัณฑ์ซีดี พ.ศ. 2548 แทนอธิบดีกรมทรัพย์สินทางปัญญา (ลงวันที่ 28 เมษายน 2553),https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/คำสั่งกรมทรัพย์สินทางปัญญา-orders-of-dip-3.html,https://www.ipthailand.go.th/th/dip-law-2/item/คำสั่งกรมทรัพย์สินทางปัญญาที่-๑๘๙-๒๕๕๓-เรื่อง-มอบอำนาจให้ข้าราชการปฏิบัติราชการตามพระราชบัญญัติการผล.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,คำสั่งกรมทรัพย์สินทางปัญญา (Orders of DIP),คำสั่งกรมทรัพย์สินทางปัญญา ที่ 229/2553 เรื่อง ให้ข้าราชการในสังกัดสำนักงานพาณิชย์จังหวัดปฏิบัติหน้าที่ราชการในฐานะพนักงานเจ้าหน้าที่และมีบัตรประจำตัวพนักงานเจ้าหน้าที่ตามพระราชบัญญัติการผลิตผลิตภัณฑ์ซีดี พ.ศ. 2548 (ลงวันที่ 14 พฤษภาคม 2553),https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/คำสั่งกรมทรัพย์สินทางปัญญา-orders-of-dip-3.html,https://www.ipthailand.go.th/th/dip-law-2/item/คำสั่งกรมทรัพย์สินทางปัญญา-ที่-๒๒๙-๒๕๕๓-เรื่อง-ให้ข้าราชการในสังกัดสำนักงานพาณิชย์จังหวัดปฏิบัติหน้า.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,ประกาศกรมทรัพย์สินทางปัญญา (Notifications of DIP),ประกาศกรมทรัพย์สินทางปัญญา เรื่อง การกำหนด แบบ รายการที่ต้องแจ้ง หลักเกณฑ์ วิธีการ และเงื่อนไข การทำการผลิตหรือว่าจ้างทำการผลิต การเปลี่ยนแปลงรายการ การย้ายสถานที่ผลิต เครื่องหมายรับรองการผลิต เครื่องหมายรับรองงานต้นแบบ การจัดทำบัญชีของผู้ทำการผลิต การได้,https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/ประกาศกรมทรัพย์สินทางปัญญา-notifications-of-dip-5.html,https://www.ipthailand.go.th/th/dip-law-2/item/cd_20201001.html?category_id=2293
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,ประกาศกรมทรัพย์สินทางปัญญา (Notifications of DIP),ประกาศกรมทรัพย์สินทางปัญญา เรื่อง การกำหนด แบบ รายการที่ต้องแจ้งหลักเกณฑ์ วิธีการ และเงื่อนไข การทำการผลิตหรือว่าจ้างทำการผลิต การเปลี่ยนแปลงรายการ การย้ายสถานที่ผลิต……. ตามพระราชบัญญัติการผลิตผลิตภัณฑ์ซีดี พ.ศ. 2548 (ลงวันที่ 7 กันยายน 2554),https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/ประกาศกรมทรัพย์สินทางปัญญา-notifications-of-dip-5.html,https://www.ipthailand.go.th/th/dip-law-2/item/ประกาศกรมเรื่อง-การกำหนด-แบบ-รายการที่ต้องแจ้ง-หลักเกณฑ์-วิธีการ-และเงื่อนไข-ทำการผลิต-ฉ3.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,ประกาศกระทรวงพาณิชย์ (Notifications of MOC),ประกาศกระทรวงพาณิชย์ ฉบับที่ 30/2552 เรื่อง แต่งตั้งพนักงานเจ้าหน้าที่ตามพระราชบัญญัติการผลิตผลิตภัณฑ์ซีดี พ.ศ. 2548 (ลงวันที่ 8 กันยายน 2552),https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/ประกาศกระทรวงพาณิชย์-notifications-of-moc-5.html,https://www.ipthailand.go.th/th/dip-law-2/item/ประกาศกระทรวงพาณิชย์-เรื่อง-แต่งตั้งพนักงานเจ้าหน้าที่ตามพระราชบัญญัติการผลิตผลิตภัณฑ์ซีดี-พ-ศ-๒๕๔๘.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,ประกาศกระทรวงพาณิชย์ (Notifications of MOC),ประกาศกระทรวงพาณิชย์ เรื่อง การทำการผลิตหรือว่าจ้างทำการผลิตผลิตภัณฑ์ซีดีที่ไม่ต้องแจ้งต่อพนักงานเจ้าหน้าที่ พ.ศ. 2548 (ลงวันที่ 24 สิงหาคม 2548),https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/ประกาศกระทรวงพาณิชย์-notifications-of-moc-5.html,https://www.ipthailand.go.th/th/dip-law-2/item/ประกาศกระทรวงพาณิชย์-เรื่อง-การทำการผลิตหรือว่าจ้างทำการผลิตผลิตภัณฑ์ซีดีที่ไม่ต้องแจ้งต่อพนักงาน.html
กฎหมาย - การผลิตผลิตภัณฑ์ซีดี,พระราชบัญญัติ (Acts),พระราชบัญญัติการผลิตผลิตภัณฑ์ซีดี พ.ศ. 2548,https://www.ipthailand.go.th/th/cd-008.html,https://www.ipthailand.go.th/th/dip-law-2/category/พระราชบัญญัติ-acts-5.html,https://www.ipthailand.go.th/th/dip-law-2/item/พระราชบัญญัติการผลิตผลิตภัณฑ์-ซีดี-พ-ศ-2548.html
