law_group,nb_laws,nb_pages
กษัตริย์,12,2
การเงิน การคลัง และวิธีการงบประมาณ,146,15
การเมืองการปกครอง,269,27
ขนส่งและคมนาคม,59,6
คณะกรรมการกฤษฏีกา,2,1
คนต่างด้าว,56,6
ครอบครัว และมรดก,69,7
ความมั่นคง และการรักษาความสงบเรียบร้อย,53,6
ความเท่าเทียมระหว่างเพศ,1,1
คุ้มครองผู้บริโภค,56,6
คุ้มครองสัตว์,6,1
จัดซื้อจัดจ้างภาครัฐ,6,1
ทรัพยากรธรรมชาติ พลังงาน และสิ่งแวดล้อม,57,6
ทรัพย์สินทางปัญญา,14,2
ที่ดิน,58,6
ที่อยู่อาศัย และการพัฒนาเมือง,15,2
ทุจริต และประพฤติมิชอบ,12,2
ธง ตราแผ่นดิน และเครื่องหมายราชการ,5,1
ธนาคาร สถาบันการเงิน และตลาดหลักทรัพย์,40,4
ธุรกิจ และพาณิชยกรรม,118,12
พนัน,6,1
ภาษีอากร และค่าธรรมเนียม,225,23
รัฐวิสาหกิจ,36,4
วัฒนธรรม กีฬา และการท่องเที่ยว,71,8
วิชาชีพ,35,4
วิทยาศาสตร์ และเทคโนโลยี,26,3
ศาล และกระบวนการยุติธรรม,118,12
ศาสนา,14,2
ศึกษา,74,8
สนธิสัญญา และความสัมพันธ์ระหว่างประเทศ,66,7
สมาคมและมูลนิธิ,16,2
สวัสดิการสังคม,87,9
สัญชาติ,7,1
สาธารณสุข,82,9
องค์การระหว่างประเทศ,40,4
อาวุธ,27,3
อุตสาหกรรม,32,4
เกษตร และสหกรณ์,49,5
เครื่องราชอิสริยาภรณ์,44,5
เครื่องแบบ เสื้อครุย,19,2
เอกสิทธิ์และความคุ้มกัน,50,5
แรงงาน,25,3
โทรคมนาคม และการสื่อสาร,12,2
