title,law_url,sysid,law_group,law_type
พระราชกำหนดโอนอัตรากำลังพลและงบประมาณบางส่วนของกองทัพบก กองทัพไทย กระทรวงกลาโหม ไปเป็นของหน่วยบัญชาการถวายความปลอดภัยรักษาพระองค์ ซึ่งเป็นส่วนราชการในพระองค์ พ.ศ.2562 ,https://www.krisdika.go.th/librarian/get?sysid=843218&ext=htm,843218,กษัตริย์,พระราชกำหนด
พระราชบัญญัติระเบียบบริหารราชการในพระองค์ พ.ศ. 2560,https://www.krisdika.go.th/librarian/get?sysid=775999&ext=htm,775999,กษัตริย์,พระราชบัญญัติ
รัฐธรรมนูญแห่งราชอาณาจักรไทย,https://www.krisdika.go.th/librarian/get?sysid=774606&ext=htm,774606,กษัตริย์,รัฐธรรมนูญ
ประมวลกฎหมายอาญา (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=443287&ext=htm,443287,กษัตริย์,ประมวลกฎหมาย
ประมวลกฎหมายวิธีพิจารณาความอาญา (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=570066&ext=htm,570066,กษัตริย์,ประมวลกฎหมาย
พระราชบัญญัติธง พ.ศ. 2522,https://www.krisdika.go.th/librarian/get?sysid=303258&ext=htm,303258,กษัตริย์,พระราชบัญญัติ
พระราชบัญญัติใช้ตราแผ่นดิน ร.ศ. 108 ,https://www.krisdika.go.th/librarian/get?sysid=303135&ext=htm,303135,กษัตริย์,พระราชบัญญัติ
พระราชบัญญัติจัดระเบียบทรัพย์สินพระมหากษัตริย์ พ.ศ. 2561,https://www.krisdika.go.th/librarian/get?sysid=821756&ext=htm,821756,กษัตริย์,พระราชบัญญัติ
พระราชบัญญัติเครื่องหมายครุฑพ่าห์ พ.ศ. 2534 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=302710&ext=htm,302710,กษัตริย์,พระราชบัญญัติ
พระราชบัญญัติคณะสงฆ์ พ.ศ. 2505 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=308233&ext=htm,308233,กษัตริย์,พระราชบัญญัติ
พระราชบัญญัติการบริหารองค์กรศาสนาอิสลาม พ.ศ. 2540 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=395096&ext=htm,395096,กษัตริย์,พระราชบัญญัติ
พระราชบัญญัติการถวายความปลอดภัย พ.ศ. 2560,https://www.krisdika.go.th/librarian/get?sysid=793221&ext=htm,793221,กษัตริย์,พระราชบัญญัติ
